ds,y
2022-01-03,2.8
2022-01-10,3.0
2022-01-17,3.0
2022-01-24,3.0
2022-01-31,3.0
2022-02-07,3.0
2022-02-14,3.0
2022-02-21,3.0
2022-02-28,3.17
2022-03-07,3.2
2022-03-14,3.26
2022-03-21,3.36
2022-03-28,3.4
2022-04-04,3.4
2022-04-11,3.4
2022-04-18,3.44
2022-04-25,3.5
2022-05-02,3.46
2022-05-09,3.4
2022-05-16,3.31
2022-05-23,3.21
2022-05-30,3.2
2022-06-06,3.13
2022-06-13,3.04
2022-06-20,3.0
2022-06-27,3.0
2022-07-04,3.14
2022-07-11,3.2
2022-07-18,3.34
2022-07-25,3.4
2022-08-01,3.47
2022-08-08,3.5
2022-08-15,3.57
2022-08-22,3.6
2022-08-29,3.6
2022-09-05,3.6
2022-09-12,3.6
2022-09-19,3.6
2022-09-26,3.6
2022-10-03,3.6
2022-10-10,3.6
2022-10-17,3.6
2022-10-24,3.6
2022-10-31,3.6
2022-11-07,3.6
2022-11-14,3.6
2022-11-21,3.51
2022-11-28,3.4
2022-12-05,3.4
2022-12-12,3.4
2022-12-19,3.4
2022-12-26,3.4
2023-01-02,3.49
2023-01-09,3.6
2023-01-16,3.6
2023-01-23,3.6
2023-01-30,3.54
2023-02-06,3.4
2023-02-13,3.26
2023-02-20,3.2
2023-02-27,3.2
2023-03-06,3.2
2023-03-13,3.31
2023-03-20,3.51
2023-03-27,3.6
2023-04-03,3.6
2023-04-10,3.6
2023-04-17,3.6
2023-04-24,3.6
2023-05-01,3.6
2023-05-08,3.6
2023-05-15,3.8
2023-05-22,3.8
2023-05-29,3.8
2023-06-05,3.8
2023-06-12,3.8
2023-06-19,3.8
2023-06-26,3.8
2023-07-03,3.8
2023-07-10,3.89
2023-07-17,4.0
2023-07-24,4.0
2023-07-31,4.0
2023-08-07,4.0
2023-08-14,4.0
2023-08-21,4.0
2023-08-28,4.0
2023-09-04,4.0
2023-09-11,4.0
2023-09-18,4.0
2023-09-25,4.0
2023-10-02,4.0
2023-10-09,4.0
2023-10-16,4.0
2023-10-23,4.0
2023-10-30,4.0
2023-11-06,4.0
2023-11-13,4.0
2023-11-20,4.0
2023-11-27,4.0
2023-12-04,4.0
2023-12-11,4.0
2023-12-18,4.0
2023-12-25,4.0
2024-01-01,4.0
2024-01-08,3.89
2024-01-15,3.6
2024-01-22,3.46
2024-01-29,3.4
2024-02-05,3.4
2024-02-12,3.4
2024-02-19,3.4
2024-02-26,3.4
2024-03-04,3.4
2024-03-11,3.4
2024-03-18,3.4
2024-03-25,3.4
2024-04-01,3.4
2024-04-08,3.4
2024-04-15,3.54
2024-04-22,3.6
2024-04-29,3.8
2024-05-06,3.8
2024-05-13,3.8
2024-05-20,3.8
2024-05-27,3.94
2024-06-03,4.0
2024-06-10,4.0
2024-06-17,4.0
2024-06-24,4.0
2024-07-01,4.0
2024-07-08,4.0
2024-07-15,4.0
2024-07-22,4.0
2024-07-29,4.0
2024-08-05,4.0
2024-08-12,4.0
2024-08-19,4.0
2024-08-26,4.0
2024-09-02,4.0
2024-09-09,4.0
2024-09-16,4.0
2024-09-23,4.0
2024-09-30,4.0
2024-10-07,4.0
2024-10-14,4.0
2024-10-21,3.8
2024-10-28,3.74
2024-11-04,3.6
2024-11-11,3.6
2024-11-18,3.6
2024-11-25,3.6
2024-12-02,3.6
2024-12-09,3.6
2024-12-16,3.6
2024-12-23,3.6
2025-01-06,3.6
2025-01-13,3.6
2025-01-20,3.6
2025-01-27,3.6
2025-02-03,3.6
2025-02-10,3.6
2025-02-17,3.4
2025-02-24,3.4
2025-03-03,3.23
2025-03-10,3.2
2025-03-17,3.2
2025-03-24,3.2
2025-03-31,3.2
2025-04-07,3.2
2025-04-14,3.2
2025-04-21,3.31
2025-04-28,3.4
2025-05-05,3.6
2025-05-12,3.6
2025-05-19,3.6
2025-05-26,3.6
2025-06-02,3.6
2025-06-09,3.6
2025-06-16,3.6
2025-06-23,3.6
2025-06-30,3.6
2025-07-07,3.6
2025-07-14,3.6
2025-07-21,3.6
2025-07-28,3.6
2025-08-04,3.6
